UID,제품타입,공기온도_K,공정온도_K,회전속도_rpm,토크_Nm,공구마모_min,고장여부
605,H,298.8,307.5,1386,41.5,204,0
606,M,298.1,307.2,1633,56.4,186,0
607,L,301.9,310.0,1457,40.7,158,0
608,H,299.9,309.9,1692,35.2,65,0
609,L,298.9,308.9,1204,37.2,51,0
610,M,300.7,310.5,1655,47.9,70,0
611,H,301.9,311.6,1421,52.9,181,1
612,M,302.0,311.6,1523,24.2,166,0
613,L,302.9,314.6,1633,43.7,23,0
614,M,301.0,310.4,1738,31.6,147,0
615,M,301.0,311.5,1589,50.7,91,0
616,L,298.1,308.9,1297,48.1,208,0
617,L,300.3,310.6,1527,51.5,165,0
618,L,299.9,310.2,1574,43.1,154,0
619,L,302.0,312.8,1536,41.3,131,0
620,H,299.5,310.6,1574,50.0,232,0
621,L,298.9,308.5,1686,26.0,220,0
622,L,301.5,309.6,1629,43.7,32,0
623,H,301.6,311.8,1740,35.9,100,0
624,L,302.9,314.3,1790,53.2,8,0
625,L,302.2,310.3,1639,36.4,174,0
626,H,299.7,311.1,1471,39.2,119,1
627,L,297.3,308.1,1540,17.2,89,0
628,M,298.4,310.1,1720,22.6,42,0
629,L,303.6,315.0,1307,43.9,111,0
630,L,299.4,309.3,1689,27.6,182,0
631,M,298.1,310.1,1629,68.2,23,0
632,L,296.8,306.8,1336,34.4,209,1
633,L,300.5,313.0,1872,37.8,109,0
634,L,300.0,310.0,1607,62.6,31,0
635,L,299.8,308.7,1624,34.5,169,0
636,M,301.6,312.1,1515,40.3,207,0
637,H,301.4,311.0,1525,51.3,146,0
638,H,299.2,309.6,1911,46.1,78,0
639,L,300.4,309.8,1616,37.1,79,0
640,L,298.0,306.4,1755,37.9,44,0
641,L,298.1,308.3,1708,52.2,150,0
642,L,299.6,309.8,1822,37.6,116,0
643,L,301.3,312.5,2054,38.1,236,0
644,L,300.6,310.2,1752,42.8,222,0
645,L,302.0,310.9,1739,43.2,67,0
646,L,299.7,309.1,1500,40.1,133,0
647,M,299.9,311.1,1549,58.6,142,0
648,H,300.7,310.5,1432,14.3,74,0
649,L,298.1,309.0,1605,41.6,198,0
650,M,302.2,312.6,1619,36.5,107,0
651,M,299.6,309.5,1092,38.2,163,0
652,L,299.7,308.5,1531,43.0,198,0
653,M,300.6,310.3,1322,50.2,10,0
654,L,299.6,310.0,1436,35.1,123,0
655,M,299.5,311.0,1312,52.5,40,0
656,H,300.4,310.0,1492,41.7,246,0
657,L,297.4,309.1,1806,25.0,219,0
658,M,300.9,310.9,1522,46.4,23,0
659,M,298.6,308.9,1472,48.1,199,1
660,L,300.7,310.7,1596,43.9,123,0
661,L,302.4,313.0,1815,36.9,235,1
662,M,300.6,310.2,1463,47.2,22,1
663,L,300.0,311.4,1647,47.6,174,0
664,H,302.2,312.5,1469,23.5,245,0
665,L,301.7,311.9,1466,55.5,82,0
666,L,302.2,312.3,1468,39.6,217,0
667,M,300.5,312.5,1661,46.8,36,0
668,M,300.2,311.6,1466,39.8,209,0
669,M,298.8,308.5,1578,40.9,214,0
670,M,299.1,310.2,1405,50.7,245,0
671,L,300.4,310.1,1121,37.9,30,0
672,H,303.2,313.1,1451,42.6,79,0
673,L,297.6,305.9,1388,44.6,40,0
674,L,305.2,316.5,1813,37.1,236,0
675,L,297.6,308.5,1614,30.4,8,0
676,L,298.2,307.7,1505,42.8,242,0
677,L,303.9,313.9,1511,12.1,182,0
678,H,297.7,307.0,1325,32.0,50,0
679,L,301.9,311.7,1612,39.0,127,0
680,L,300.2,311.5,1794,45.2,237,0
681,L,304.0,314.5,1541,32.9,113,0
682,L,295.0,305.9,1424,41.0,109,0
683,M,296.8,307.1,1632,42.0,115,0
684,H,301.0,310.9,1696,58.5,121,0
685,L,298.5,309.3,1601,40.4,126,0
686,H,299.4,310.1,1264,34.1,229,0
687,L,300.4,309.2,1348,43.5,237,0
688,H,299.4,309.2,1251,40.4,158,0
689,L,304.5,313.3,1654,60.6,121,0
690,L,302.9,313.8,1255,30.2,171,0
691,H,299.6,310.4,1432,22.8,241,0
692,H,297.0,306.2,1595,38.8,79,0
693,L,302.6,312.6,1511,57.3,170,0
694,M,298.6,310.1,1522,54.6,197,1
695,L,295.4,307.1,1394,50.9,112,0
696,L,304.3,316.4,1858,35.8,224,1
697,M,297.7,307.8,1366,41.2,237,0
698,M,302.3,312.5,1467,41.4,58,0
699,L,301.7,311.9,1677,30.9,90,0
700,H,297.1,306.9,1376,43.8,164,0
701,L,303.1,313.0,1594,44.6,61,0
702,L,297.1,307.7,1528,46.3,158,1
703,M,297.6,309.0,1426,36.8,90,0
704,L,300.1,310.2,1359,40.9,63,0
705,M,298.8,307.3,1240,37.8,82,0
706,L,303.4,312.8,1497,42.1,22,0
707,L,298.8,310.0,1622,29.0,116,0
708,L,297.4,305.5,1606,67.5,27,0
709,M,302.3,310.0,1605,47.6,189,0
710,L,299.0,309.1,1430,34.7,24,0
711,M,301.4,312.2,1426,35.5,187,0
712,L,296.8,307.2,1794,42.5,171,0
713,L,301.1,310.8,1419,43.9,44,0
714,M,300.1,309.8,1495,36.7,41,0
715,L,294.2,304.0,1234,39.6,151,0
716,M,300.4,310.9,1760,45.4,58,0
717,L,302.1,311.6,1345,57.4,47,0
718,M,298.7,309.0,1567,28.4,87,0
719,M,298.5,308.0,1353,30.7,18,0
720,L,297.8,308.9,1578,24.6,79,0
721,L,299.0,308.3,1854,16.9,53,0
722,M,299.8,311.2,1753,31.4,242,0
723,L,298.2,306.9,1475,44.9,227,0
724,H,300.0,308.9,1885,28.8,219,0
725,H,298.8,307.8,1600,36.8,167,0
726,H,300.3,309.8,1544,50.1,120,0
727,L,300.5,309.8,1407,51.0,149,0
728,L,298.6,309.8,1296,30.9,139,0
729,H,299.6,310.2,1393,55.6,148,0
730,H,299.8,310.2,1439,33.7,221,0
731,M,301.0,310.2,1474,55.8,186,0
732,L,300.5,311.0,1530,49.3,232,1
733,L,302.3,313.6,1852,31.1,111,0
734,H,298.9,307.5,1682,55.9,162,0
735,L,299.5,307.6,1572,52.6,60,0
736,L,298.3,307.3,1444,42.5,205,0
737,M,299.4,308.4,1249,43.3,41,0
738,L,299.5,307.8,1653,53.9,85,0
739,M,301.3,311.4,1667,45.9,236,0
740,L,299.9,308.9,1832,39.0,26,0
741,L,301.3,312.7,1712,48.9,68,0
742,L,299.8,309.1,1510,32.4,55,0
743,H,304.9,314.4,1659,39.5,203,0
744,M,298.9,309.6,1893,45.2,14,0
745,L,300.6,312.1,1596,40.3,132,0
746,L,296.7,306.7,1801,43.3,245,0
747,M,299.2,308.8,1439,43.0,58,0
748,L,302.5,312.4,1383,19.9,231,0
749,L,302.2,312.2,1643,42.1,80,0
750,L,301.4,312.3,1864,34.3,155,0
751,H,299.4,310.7,1207,51.1,163,0
752,M,303.7,312.1,1548,35.9,188,0
753,L,300.8,309.5,1614,39.7,44,0
754,L,301.1,310.4,1295,50.4,19,0
755,H,299.2,308.2,1235,42.7,212,1
756,M,301.5,310.5,1448,30.9,121,0
757,L,299.5,310.8,1799,38.9,64,0
758,L,299.2,309.7,2025,41.2,178,0
759,M,302.3,312.0,1737,43.9,46,0
760,L,299.4,310.2,1602,33.9,234,1
761,L,300.4,312.5,1661,34.7,147,0
762,L,300.0,309.2,1467,42.4,26,0
763,H,301.1,310.1,1640,42.4,249,1
764,L,300.0,310.1,1589,38.3,129,0
765,L,298.3,308.8,1420,34.4,208,0
766,L,299.6,308.3,1446,49.9,59,0
767,L,300.8,310.4,1618,37.7,239,0
768,M,301.4,311.3,1563,32.5,151,1
769,L,300.5,310.4,1625,34.4,214,0
770,L,302.7,311.5,1330,55.5,149,0
771,M,303.1,311.6,1794,42.2,135,0
772,H,299.4,310.2,1672,55.8,70,0
773,M,300.4,311.3,1715,42.5,95,0
774,H,298.7,307.7,1873,38.9,143,0
775,L,300.0,309.0,1330,45.0,126,0
776,M,298.2,307.5,1414,38.4,160,0
777,H,298.2,306.0,1575,31.2,180,0
778,H,301.8,311.2,1610,48.4,5,0
779,L,299.3,310.4,1384,43.8,202,0
780,L,297.0,305.9,1551,46.1,225,0
781,M,301.4,310.8,1380,40.9,97,0
782,L,299.7,308.4,1734,50.1,193,0
783,M,296.7,306.9,1256,52.4,142,0
784,M,300.8,311.5,1653,43.7,183,0
785,L,300.3,310.5,1590,51.6,238,0
786,H,302.4,312.6,2026,49.8,142,0
787,M,298.5,308.7,1356,41.4,73,0
788,M,298.6,308.7,1689,37.8,9,0
789,M,296.7,306.7,1573,33.6,112,0
790,L,301.6,311.9,1635,28.0,177,0
791,M,303.2,312.7,1672,42.2,175,0
792,L,304.9,314.7,1379,33.0,68,0
793,M,301.0,311.6,1709,15.5,244,0
794,H,300.6,310.7,1538,23.5,92,0
795,H,299.5,310.6,1348,51.2,71,0
796,L,299.7,307.8,1372,41.0,128,0
797,L,299.4,308.4,1406,36.1,214,1
798,M,299.8,309.9,1572,47.6,4,0
799,M,301.3,312.3,1494,43.7,25,0
800,H,299.6,309.4,1761,51.0,158,0
